Timestamp,Event,Event data
2016-05-26 19:36:08,Pre-Purge,0,242160
2016-05-26 19:36:08,Pre-Purge,0,242160
2016-05-26 19:36:08,Pre-Purge,0,243162
2016-05-26 19:36:08,Pre-Purge,0,243162
2016-05-26 19:36:08,Pre-Purge,0,243162
2016-05-26 19:36:08,Pre-Purge,0,244161
2016-05-26 19:36:08,Pre-Purge,0,244161
2016-05-26 19:36:08,Pre-Purge,0,245162
2016-05-26 19:36:08,Pre-Purge,0,245162
2016-05-26 19:36:08,Pre-Purge,0,245162
2016-05-26 19:36:08,Pre-Purge,0,246163
2016-05-26 19:36:08,Pre-Purge,0,246163
2016-05-26 19:36:08,Pre-Purge,0,247163
2016-05-26 19:36:08,Pre-Purge,0,247163
2016-05-26 19:36:08,Pre-Purge,0,247163
2016-05-26 19:36:08,Pre-Purge,0,248164
2016-05-26 19:36:08,Pre-Purge,0,248164
2016-05-26 19:36:08,Pre-Purge,0,249165
2016-05-26 19:36:08,Pre-Purge,0,249165
2016-05-26 19:36:08,Pre-Purge,0,249165
2016-05-26 19:36:08,Pre-Purge,0,250165
2016-05-26 19:36:08,Pre-Purge,0,250165
2016-05-26 19:36:08,Pre-Purge,0,251166
2016-05-26 19:36:08,Pre-Purge,0,251166
2016-05-26 19:36:08,Pre-Purge,0,251166
2016-05-26 19:36:08,Pre-Purge,0,252168
2016-05-26 19:36:08,Pre-Purge,0,252168
2016-05-26 19:36:08,Pre-Purge,0,253167
2016-05-26 19:36:08,Pre-Purge,0,254168
2016-05-26 19:36:08,Pre-Purge,0,254168
2016-05-26 19:36:08,Pre-Purge,0,255169
2016-05-26 19:36:08,Pre-Purge,0,255169
2016-05-26 19:36:08,Pre-Purge,0,256170
2016-05-26 19:36:08,Pre-Purge,0,256170
2016-05-26 19:36:08,Pre-Purge,0,257170
2016-05-26 19:36:08,Pre-Purge,0,257170
2016-05-26 19:36:08,Pre-Purge,0,258171
2016-05-26 19:36:08,Pre-Purge,0,258171
2016-05-26 19:36:08,Pre-Purge,0,259171
2016-05-26 19:36:08,Pre-Purge,0,260172
2016-05-26 19:36:08,Pre-Purge,0,260172
2016-05-26 19:36:08,Pre-Purge,0,261173
2016-05-26 19:36:08,Pre-Purge,0,261173
2016-05-26 19:36:08,Pre-Purge,0,262173
2016-05-26 19:36:08,Pre-Purge,0,262173
2016-05-26 19:36:08,Pre-Purge,0,263174
2016-05-26 19:36:08,Pre-Purge,0,263174
2016-05-26 19:36:08,Pre-Purge,0,264175
2016-05-26 19:36:08,Pre-Purge,0,264175
2016-05-26 19:36:08,Pre-Purge,0,265175
2016-05-26 19:36:08,Pre-Purge,0,265175
2016-05-26 19:36:08,Pre-Purge,0,266176
2016-05-26 19:36:08,Pre-Purge,0,266176
2016-05-26 19:36:08,Pre-Purge,0,267177
2016-05-26 19:36:08,Pre-Purge,0,267177
2016-05-26 19:36:08,Pre-Purge,0,268178
2016-05-26 19:36:08,Pre-Purge,0,268178
2016-05-26 19:36:08,Pre-Purge,0,269178
2016-05-26 19:36:08,Pre-Purge,0,269178
2016-05-26 19:36:08,Pre-Purge,0,270179
2016-05-26 19:36:08,Pre-Purge,0,270179
2016-05-26 19:36:08,Pre-Purge,0,270179
2016-05-26 19:36:08,Pre-Purge,0,271179
2016-05-26 19:36:08,Pre-Purge,0,272180
2016-05-26 19:36:08,Pre-Purge,0,272180
2016-05-26 19:36:08,Pre-Purge,0,272180
2016-05-26 19:36:08,Pre-Purge,0,273180
2016-05-26 19:36:08,Pre-Purge,0,273180
2016-05-26 19:36:08,Pre-Purge,0,274181
2016-05-26 19:36:08,Pre-Purge,0,274181
2016-05-26 19:36:08,Pre-Purge,0,274181
2016-05-26 19:36:08,Pre-Purge,0,275182
2016-05-26 19:36:08,Pre-Purge,0,275182
2016-05-26 19:36:08,Pre-Purge,0,276182
2016-05-26 19:36:08,Pre-Purge,0,276182
2016-05-26 19:36:08,Pre-Purge,0,276182
2016-05-26 19:36:08,Pre-Purge,0,277183
2016-05-26 19:36:08,Pre-Purge,0,277183
2016-05-26 19:36:08,Pre-Purge,0,277183
2016-05-26 19:36:08,Pre-Purge,0,278183
2016-05-26 19:36:08,Pre-Purge,0,279185
2016-05-26 19:36:08,Pre-Purge,0,279185
2016-05-26 19:36:08,Pre-Purge,0,280185
2016-05-26 19:36:08,Pre-Purge,0,280185
2016-05-26 19:36:08,Pre-Purge,0,281186
2016-05-26 19:36:08,Pre-Purge,0,281186
2016-05-26 19:36:08,Pre-Purge,0,282187
2016-05-26 19:36:08,Pre-Purge,0,282187
2016-05-26 19:36:08,Pre-Purge,0,283187
2016-05-26 19:36:08,Pre-Purge,0,283187
2016-05-26 19:36:08,Pre-Purge,0,284188
2016-05-26 19:36:08,Pre-Purge,0,284188
