Timestamp,Event,Event Data
16:18:06,212 2016-05-26,Start Pre-Purge,7,11 
16:18:06,313 2016-05-26,Start Pre-Purge,7,21 
16:18:06,412 2016-05-26,Start Pre-Purge,7,31 
16:18:06,512 2016-05-26,Start Pre-Purge,7,41 
16:18:06,612 2016-05-26,Start Pre-Purge,7,51 
16:18:06,712 2016-05-26,Start Pre-Purge,7,61 
16:18:06,812 2016-05-26,Start Pre-Purge,7,71 
16:18:06,913 2016-05-26,Start Pre-Purge,7,81 
16:18:07,013 2016-05-26,Start Pre-Purge,7,91 
16:18:07,113 2016-05-26,Start Pre-Purge,8,01 
16:18:07,214 2016-05-26,Start Pre-Purge,8,11 
16:18:07,313 2016-05-26,Start Pre-Purge,8,21 
16:18:07,413 2016-05-26,Start Pre-Purge,8,31 
16:18:07,513 2016-05-26,Start Pre-Purge,8,41 
16:18:07,613 2016-05-26,Start Pre-Purge,8,51 
16:18:07,713 2016-05-26,Start Pre-Purge,8,61 
16:18:07,813 2016-05-26,Start Pre-Purge,8,71 
16:18:07,913 2016-05-26,Start Pre-Purge,8,81 
16:18:08,013 2016-05-26,Start Pre-Purge,8,91 
16:18:08,113 2016-05-26,Start Pre-Purge,9,01 
16:18:08,213 2016-05-26,Start Pre-Purge,9,11 
16:18:08,313 2016-05-26,Start Pre-Purge,9,21 
16:18:08,413 2016-05-26,Start Pre-Purge,9,31 
16:18:08,513 2016-05-26,Start Pre-Purge,9,41 
16:18:08,613 2016-05-26,Start Pre-Purge,9,51 
16:18:08,713 2016-05-26,Start Pre-Purge,9,61 
16:18:08,813 2016-05-26,Start Pre-Purge,9,71 
16:18:08,913 2016-05-26,Start Pre-Purge,9,81 
16:18:09,013 2016-05-26,Start Pre-Purge,9,91 
16:18:09,113 2016-05-26,Start Pre-Purge,10,01 
16:18:09,213 2016-05-26,Pre-Purge Complete,10,00 
16:18:35,648 2016-05-26,Pilot ON,True 
16:18:53,364 2016-05-26,Pilot Proved,40,34 
16:18:53,464 2016-05-26,Pilot Proved,43,70 
16:18:53,565 2016-05-26,Pilot Proved,44,54 
16:19:03,876 2016-05-26,Forced Draft Fan ON,True 
16:19:16,092 2016-05-26,Boiler Running,15,98 
16:19:16,192 2016-05-26,Boiler Running,19,77 
